nn,nn_params,word_embeddings_params,accuracy,f1_macro,f1_weighted,Heavy Metal_precision,Heavy Metal_recall,Heavy Metal_f1_score,Heavy Metal_samples,Punk Rock_precision,Punk Rock_recall,Punk Rock_f1_score,Punk Rock_samples,Soft Rock_precision,Soft Rock_recall,Soft Rock_f1_score,Soft Rock_samples,total_samples
gru,Embedding_out_dim = 100| GRU_units=70,custom_rock_fasttext_50_10_100d,0.16,0.1,0.05,0.5,0.01,0.01,1911,0.26,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_rock_sg_5_5_300d,0.16,0.1,0.05,0.66,0.01,0.02,1911,0.28,0.01,0.01,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=20,custom_rock_sg_5_5_300d,0.15,0.1,0.05,0.57,0.0,0.0,1911,0.32,0.02,0.03,1409,0.15,0.99,0.26,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=20,custom_rock_fasttext_5_10_300d,0.15,0.09,0.05,0.5,0.0,0.0,1911,0.35,0.01,0.02,1409,0.15,1.0,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_rock_sg_5_10_100d,0.15,0.1,0.05,0.55,0.0,0.01,1911,0.29,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_5_5_100d,0.15,0.1,0.05,0.55,0.01,0.01,1911,0.27,0.01,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_rock_fasttext_50_10_300d,0.16,0.1,0.05,0.6,0.01,0.02,1911,0.19,0.01,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=70,custom_rock_sg_5_10_300d,0.16,0.1,0.05,0.68,0.01,0.03,1911,0.12,0.0,0.0,1409,0.15,1.0,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_5_10_300d,0.16,0.1,0.05,0.6,0.02,0.03,1911,0.2,0.0,0.0,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_rock_sg_5_5_100d,0.16,0.1,0.05,0.6,0.01,0.02,1911,0.4,0.01,0.01,1409,0.15,1.0,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_fasttext_50_5_300d,0.15,0.09,0.05,0.42,0.01,0.01,1911,0.0,0.0,0.0,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=20,custom_rock_fasttext_50_5_300d,0.15,0.1,0.05,0.83,0.0,0.01,1911,0.28,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=50,custom_rock_fasttext_50_5_100d,0.15,0.1,0.05,0.69,0.01,0.01,1911,0.3,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_rock_cbow_5_5_100d,0.16,0.1,0.05,0.7,0.01,0.02,1911,0.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_fasttext_5_10_300d,0.15,0.1,0.05,0.38,0.0,0.0,1911,0.43,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_rock_cbow_50_5_300d,0.15,0.09,0.05,0.62,0.01,0.02,1911,0.2,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_rock_cbow_50_5_100d,0.15,0.1,0.05,0.0,0.0,0.0,1911,0.26,0.02,0.03,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_5_10_100d,0.15,0.1,0.05,0.5,0.0,0.01,1911,0.28,0.01,0.02,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=20,custom_rock_cbow_5_10_300d,0.15,0.09,0.05,0.48,0.01,0.01,1911,0.13,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_50_10_300d,0.16,0.1,0.05,0.5,0.0,0.0,1911,0.28,0.02,0.04,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_rock_fasttext_5_5_100d,0.15,0.09,0.04,0.0,0.0,0.0,1911,0.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_rock_sg_5_5_300d,0.15,0.09,0.04,0.38,0.0,0.0,1911,0.38,0.0,0.0,1409,0.15,1.0,0.26,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_cbow_5_5_300d,0.15,0.09,0.04,0.0,0.0,0.0,1911,0.75,0.0,0.0,1409,0.15,1.0,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_rock_fasttext_50_10_300d,0.15,0.09,0.04,0.67,0.0,0.0,1911,0.55,0.0,0.01,1409,0.15,1.0,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_cbow_50_5_300d,0.15,0.09,0.04,0.0,0.0,0.0,1911,0.5,0.0,0.0,1409,0.15,1.0,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_rock_sg_5_10_300d,0.15,0.09,0.04,0.0,0.0,0.0,1911,0.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_rock_fasttext_5_10_300d,0.15,0.09,0.04,0.41,0.0,0.01,1911,0.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_cbow_5_5_300d,0.15,0.09,0.04,0.89,0.0,0.01,1911,0.4,0.0,0.0,1409,0.15,1.0,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_rock_fasttext_5_10_100d,0.15,0.09,0.04,1.0,0.0,0.0,1911,1.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_rock_sg_5_5_100d,0.15,0.09,0.04,0.5,0.0,0.0,1911,0.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=10,custom_rock_cbow_5_10_100d,0.15,0.09,0.04,0.14,0.0,0.0,1911,0.23,0.01,0.01,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_rock_fasttext_5_10_100d,0.15,0.09,0.04,0.0,0.0,0.0,1911,0.32,0.01,0.01,1409,0.15,1.0,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_5_5_300d,0.15,0.09,0.04,0.33,0.0,0.0,1911,0.8,0.01,0.01,1409,0.15,1.0,0.26,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_sg_5_5_300d,0.15,0.09,0.04,0.61,0.01,0.01,1911,0.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_rock_sg_5_10_100d,0.15,0.09,0.04,0.33,0.0,0.01,1911,1.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=3,custom_rock_sg_5_10_300d,0.15,0.09,0.04,0.0,0.0,0.0,1911,0.5,0.0,0.0,1409,0.15,1.0,0.26,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=10,custom_rock_cbow_5_10_300d,0.15,0.09,0.04,0.5,0.0,0.0,1911,0.0,0.0,0.0,1409,0.15,1.0,0.26,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_rock_sg_5_10_300d,0.15,0.09,0.04,0.0,0.0,0.0,1911,0.22,0.01,0.01,1409,0.15,0.99,0.26,587,3907
