IncidenceVerbs,IncidenceAdj,IncidenceNouns,IncidenceCon,IncidencePron,ContentIncidence,ContentDiversity,label
0.019,0.004,0.037,0.021,0.009,0.06,0.5,Soft Rock
0.042,0.018,0.059,0.075,0.018,0.119,0.4311594202898551,Soft Rock
0.031,0.017,0.049,0.045,0.014,0.097,0.5078534031413613,Soft Rock
0.053,0.02,0.057,0.034,0.013,0.13,0.5531914893617021,Soft Rock
0.051,0.013,0.074,0.044,0.015,0.138,0.5036496350364964,Soft Rock
0.037,0.022,0.088,0.033,0.018,0.147,0.5404411764705882,Soft Rock
0.048,0.017,0.064,0.054,0.013,0.129,0.5265306122448979,Soft Rock
0.077,0.034,0.092,0.066,0.03,0.203,0.5012345679012346,Soft Rock
0.048,0.014,0.067,0.054,0.026,0.129,0.49049429657794674,Soft Rock
0.018,0.014,0.038,0.034,0.01,0.07,0.5511811023622047,Soft Rock
0.016,0.006,0.037,0.026,0.006,0.059,0.5042735042735043,Soft Rock
0.035,0.024,0.065,0.043,0.007,0.124,0.5188284518828452,Soft Rock
0.028,0.01,0.03,0.015,0.023,0.068,0.48226950354609927,Soft Rock
0.023,0.014,0.023,0.019,0.001,0.06,0.6122448979591837,Soft Rock
0.035,0.021,0.052,0.041,0.013,0.108,0.5023255813953489,Soft Rock
0.033,0.047,0.162,0.014,0.006,0.242,0.7014492753623188,Soft Rock
0.028,0.006,0.052,0.032,0.017,0.086,0.4479166666666667,Soft Rock
0.024,0.002,0.023,0.018,0.012,0.049,0.4336283185840708,Soft Rock
0.026,0.017,0.084,0.057,0.004,0.127,0.5247933884297521,Soft Rock
0.067,0.044,0.097,0.078,0.015,0.208,0.5402597402597402,Soft Rock
0.071,0.024,0.054,0.043,0.011,0.149,0.5398550724637681,Soft Rock
0.051,0.034,0.1,0.07,0.02,0.185,0.5270655270655271,Soft Rock
0.037,0.011,0.047,0.053,0.008,0.095,0.4439252336448598,Soft Rock
0.039,0.011,0.042,0.043,0.014,0.092,0.5,Soft Rock
0.053,0.029,0.092,0.092,0.012,0.174,0.514792899408284,Soft Rock
0.049,0.022,0.07,0.054,0.016,0.141,0.48788927335640137,Soft Rock
0.045,0.016,0.074,0.077,0.023,0.135,0.5172413793103449,Soft Rock
0.054,0.011,0.041,0.043,0.023,0.106,0.4840182648401826,Soft Rock
0.025,0.007,0.028,0.019,0.008,0.06,0.5309734513274337,Soft Rock
0.064,0.017,0.058,0.045,0.039,0.139,0.5018050541516246,Soft Rock
0.059,0.023,0.079,0.067,0.016,0.161,0.47774480712166173,Soft Rock
0.04,0.013,0.019,0.019,0.036,0.072,0.4235294117647059,Soft Rock
0.024,0.014,0.047,0.031,0.015,0.085,0.5985915492957746,Soft Rock
0.057,0.016,0.069,0.058,0.023,0.142,0.46405228758169936,Soft Rock
