IncidenceVerbs,IncidenceAdj,IncidenceNouns,IncidenceCon,IncidencePron,ContentIncidence,ContentDiversity,label
0.036,0.025,0.052,0.03,0.026,0.113,0.6277777777777778,Power-Pop
0.026,0.013,0.033,0.022,0.013,0.072,0.5714285714285714,Power-Pop
0.036,0.015,0.04,0.019,0.014,0.091,0.6642335766423357,Power-Pop
0.024,0.014,0.029,0.012,0.008,0.067,0.6568627450980392,Power-Pop
0.036,0.028,0.073,0.056,0.022,0.137,0.53515625,Power-Pop
0.014,0.011,0.034,0.014,0.005,0.059,0.6629213483146067,Power-Pop
0.05,0.025,0.055,0.036,0.023,0.13,0.5603448275862069,Power-Pop
0.026,0.005,0.036,0.018,0.017,0.067,0.5317460317460317,Power-Pop
0.039,0.012,0.047,0.041,0.013,0.098,0.5536723163841808,Power-Pop
0.052,0.008,0.065,0.043,0.022,0.125,0.5924170616113744,Power-Pop
0.057,0.02,0.048,0.05,0.032,0.125,0.5605381165919282,Power-Pop
0.039,0.016,0.035,0.028,0.008,0.09,0.5113636363636364,Power-Pop
0.026,0.013,0.029,0.012,0.004,0.068,0.723404255319149,Power-Pop
0.039,0.006,0.029,0.023,0.023,0.074,0.5,Power-Pop
0.031,0.011,0.038,0.024,0.021,0.08,0.5970149253731343,Power-Pop
0.067,0.026,0.076,0.078,0.028,0.169,0.5614617940199336,Power-Pop
0.045,0.02,0.052,0.023,0.029,0.117,0.5492957746478874,Power-Pop
0.032,0.023,0.044,0.028,0.017,0.099,0.6513157894736842,Power-Pop
0.022,0.024,0.022,0.01,0.009,0.068,0.6296296296296297,Power-Pop
0.053,0.022,0.068,0.041,0.024,0.143,0.5909090909090909,Power-Pop
0.062,0.026,0.059,0.013,0.039,0.147,0.5526315789473685,Power-Pop
0.041,0.02,0.042,0.039,0.019,0.103,0.5228426395939086,Power-Pop
0.04,0.018,0.057,0.042,0.014,0.115,0.6284153005464481,Power-Pop
0.039,0.013,0.042,0.013,0.016,0.094,0.5838509316770186,Power-Pop
0.019,0.02,0.025,0.008,0.002,0.064,0.5378151260504201,Power-Pop
0.017,0.01,0.028,0.013,0.006,0.055,0.625,Power-Pop
0.041,0.01,0.045,0.023,0.012,0.096,0.6233766233766234,Power-Pop
0.046,0.016,0.061,0.05,0.02,0.123,0.5642201834862385,Power-Pop
0.024,0.02,0.043,0.023,0.007,0.087,0.5838926174496645,Power-Pop
0.044,0.011,0.032,0.016,0.031,0.087,0.4943181818181818,Power-Pop
0.035,0.011,0.019,0.025,0.018,0.065,0.47101449275362317,Power-Pop
0.04,0.011,0.041,0.021,0.022,0.092,0.5786163522012578,Power-Pop
0.061,0.013,0.058,0.028,0.044,0.132,0.5176470588235295,Pop Rock
0.042,0.022,0.054,0.031,0.021,0.118,0.4816326530612245,Pop Rock
0.042,0.014,0.064,0.058,0.018,0.12,0.5106382978723404,Pop Rock
0.029,0.009,0.035,0.017,0.02,0.073,0.5615384615384615,Pop Rock
0.043,0.006,0.028,0.025,0.022,0.077,0.41621621621621624,Pop Rock
0.031,0.009,0.05,0.042,0.011,0.09,0.4639175257731959,Pop Rock
0.029,0.009,0.035,0.017,0.02,0.073,0.5615384615384615,Pop Rock
0.044,0.006,0.032,0.021,0.034,0.082,0.5222929936305732,Pop Rock
0.116,0.012,0.045,0.026,0.096,0.173,0.45287958115183247,Pop Rock
0.095,0.029,0.043,0.034,0.031,0.167,0.526813880126183,Pop Rock
0.023,0.018,0.03,0.031,0.018,0.071,0.4863013698630137,Pop Rock
0.029,0.01,0.033,0.022,0.025,0.072,0.4768211920529801,Pop Rock
0.032,0.016,0.054,0.058,0.014,0.102,0.46788990825688076,Pop Rock
0.034,0.005,0.036,0.034,0.028,0.075,0.436046511627907,Pop Rock
0.053,0.008,0.062,0.028,0.015,0.123,0.6577540106951871,Pop Rock
0.038,0.004,0.04,0.033,0.01,0.082,0.47674418604651164,Pop Rock
0.028,0.015,0.024,0.011,0.009,0.067,0.5877192982456141,Pop Rock
0.046,0.024,0.058,0.036,0.02,0.128,0.5663716814159292,Pop Rock
0.028,0.01,0.032,0.027,0.008,0.07,0.4861111111111111,Pop Rock
0.024,0.001,0.028,0.028,0.01,0.053,0.4140625,Pop Rock
0.026,0.01,0.029,0.017,0.019,0.065,0.49242424242424243,Pop Rock
0.046,0.006,0.027,0.046,0.011,0.079,0.5,Pop Rock
0.016,0.009,0.022,0.023,0.008,0.047,0.44761904761904764,Pop Rock
0.038,0.01,0.042,0.02,0.03,0.09,0.48128342245989303,Pop Rock
0.045,0.008,0.051,0.046,0.018,0.104,0.45614035087719296,Pop Rock
0.048,0.017,0.043,0.029,0.021,0.108,0.5538461538461539,Pop Rock
0.033,0.006,0.037,0.036,0.012,0.076,0.4523809523809524,Pop Rock
0.103,0.023,0.016,0.108,0.082,0.142,0.3631713554987212,Pop Rock
0.036,0.011,0.039,0.039,0.013,0.086,0.5088757396449705,Pop Rock
0.042,0.014,0.047,0.04,0.017,0.103,0.5597826086956522,Pop Rock
0.042,0.013,0.034,0.02,0.021,0.089,0.46113989637305697,Pop Rock
0.02,0.002,0.021,0.012,0.017,0.043,0.4215686274509804,Pop Rock
0.032,0.007,0.039,0.039,0.017,0.078,0.4,Pop Rock
0.041,0.017,0.025,0.023,0.016,0.083,0.5533333333333333,Pop Rock
0.043,0.013,0.051,0.03,0.025,0.107,0.46120689655172414,Pop Rock
0.059,0.023,0.048,0.038,0.032,0.13,0.5158730158730159,Pop Rock
0.014,0.014,0.035,0.02,0.019,0.063,0.5526315789473685,Pop Rock
0.022,0.007,0.039,0.034,0.013,0.068,0.4788732394366197,Pop Rock
0.043,0.036,0.057,0.039,0.041,0.136,0.5171102661596958,Pop Rock
0.019,0.012,0.043,0.017,0.009,0.074,0.556390977443609,Pop Rock
0.049,0.025,0.036,0.016,0.023,0.11,0.5641025641025641,Pop Rock
0.04,0.007,0.026,0.009,0.021,0.073,0.6033057851239669,Pop Rock
0.061,0.022,0.045,0.022,0.028,0.128,0.5224489795918368,Pop Rock
0.04,0.013,0.032,0.014,0.015,0.085,0.5345911949685535,Pop Rock
0.036,0.004,0.03,0.026,0.02,0.07,0.47297297297297297,Pop Rock
0.051,0.024,0.055,0.037,0.004,0.13,0.6018518518518519,Pop Rock
0.025,0.008,0.034,0.03,0.009,0.067,0.536,Pop Rock
0.075,0.021,0.081,0.02,0.033,0.177,0.6807692307692308,Pop Rock
0.038,0.01,0.035,0.033,0.014,0.083,0.538961038961039,Pop Rock
0.039,0.03,0.046,0.015,0.012,0.115,0.6571428571428571,Pop Rock
0.037,0.011,0.037,0.023,0.02,0.085,0.5,Pop Rock
0.041,0.012,0.063,0.06,0.025,0.116,0.49572649572649574,Pop Rock
0.044,0.014,0.049,0.046,0.014,0.107,0.428,Pop Rock
0.057,0.021,0.096,0.062,0.019,0.174,0.5353846153846153,Pop Rock
0.057,0.039,0.066,0.036,0.015,0.162,0.5724381625441696,Pop Rock
0.039,0.017,0.046,0.03,0.016,0.102,0.5513513513513514,Pop Rock
0.026,0.01,0.055,0.036,0.019,0.091,0.5352941176470588,Pop Rock
0.016,0.011,0.044,0.038,0.016,0.071,0.5338345864661654,Pop Rock
0.026,0.007,0.025,0.013,0.019,0.058,0.42962962962962964,Pop Rock
0.06,0.025,0.043,0.042,0.04,0.128,0.4904214559386973,Pop Rock
0.052,0.014,0.042,0.041,0.019,0.108,0.45,Pop Rock
0.04,0.017,0.043,0.032,0.02,0.1,0.49261083743842365,Pop Rock
0.035,0.018,0.039,0.017,0.024,0.092,0.575,Pop Rock
0.055,0.025,0.035,0.03,0.024,0.115,0.48936170212765956,Pop Rock
0.025,0.008,0.038,0.022,0.006,0.071,0.5590551181102362,Pop Rock
0.042,0.013,0.062,0.041,0.025,0.117,0.4020618556701031,Pop Rock
0.045,0.005,0.074,0.03,0.053,0.124,0.5145228215767634,Pop Rock
0.042,0.019,0.072,0.026,0.021,0.133,0.6129032258064516,Pop Rock
