nn,nn_params,word_embeddings_params,accuracy,f1_macro,f1_weighted,Pop Rock_precision,Pop Rock_recall,Pop Rock_f1_score,Pop Rock_samples,Power-Pop_precision,Power-Pop_recall,Power-Pop_f1_score,Power-Pop_samples,Tecnopop_precision,Tecnopop_recall,Tecnopop_f1_score,Tecnopop_samples,total_samples
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_cbow_50_10_100d,0.45,0.29,0.43,0.63,0.64,0.63,1651,0.14,0.38,0.2,349,0.53,0.01,0.02,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_cbow_50_10_100d,0.44,0.31,0.43,0.63,0.59,0.61,1651,0.15,0.43,0.23,349,0.28,0.06,0.1,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_fasttext_50_10_100d,0.43,0.31,0.43,0.63,0.47,0.54,1651,0.18,0.02,0.04,349,0.26,0.55,0.35,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_fasttext_50_10_100d,0.46,0.28,0.43,0.63,0.66,0.65,1651,0.13,0.32,0.18,349,0.23,0.01,0.02,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_cbow_50_10_100d,0.41,0.32,0.43,0.64,0.48,0.54,1651,0.11,0.09,0.1,349,0.24,0.42,0.31,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_sg_50_10_300d,0.41,0.34,0.43,0.63,0.46,0.53,1651,0.15,0.22,0.18,349,0.26,0.37,0.31,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_cbow_5_10_100d,0.45,0.29,0.43,0.62,0.63,0.63,1651,0.13,0.34,0.19,349,0.3,0.03,0.05,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_sg_50_5_100d,0.41,0.33,0.43,0.63,0.51,0.57,1651,0.14,0.26,0.18,349,0.23,0.23,0.23,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_fasttext_5_10_300d,0.43,0.3,0.43,0.62,0.5,0.55,1651,0.12,0.01,0.02,349,0.25,0.5,0.33,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_sg_50_10_300d,0.4,0.31,0.42,0.64,0.51,0.56,1651,0.13,0.41,0.2,349,0.29,0.11,0.16,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_50_10_100d,0.4,0.31,0.42,0.61,0.52,0.56,1651,0.13,0.31,0.18,349,0.24,0.14,0.18,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_pop_fasttext_5_10_300d,0.44,0.28,0.42,0.63,0.63,0.63,1651,0.12,0.32,0.17,349,0.48,0.02,0.03,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_cbow_5_5_100d,0.4,0.32,0.42,0.6,0.5,0.54,1651,0.12,0.23,0.16,349,0.26,0.25,0.25,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_fasttext_5_5_100d,0.43,0.29,0.42,0.61,0.52,0.56,1651,0.06,0.02,0.03,349,0.23,0.41,0.3,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_sg_50_5_300d,0.4,0.29,0.41,0.61,0.54,0.57,1651,0.13,0.37,0.2,349,0.23,0.08,0.12,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_fasttext_50_10_300d,0.39,0.33,0.41,0.63,0.4,0.49,1651,0.16,0.17,0.17,349,0.25,0.47,0.33,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_cbow_50_5_100d,0.39,0.31,0.41,0.62,0.49,0.55,1651,0.13,0.35,0.19,349,0.26,0.16,0.2,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_cbow_50_10_100d,0.39,0.33,0.41,0.64,0.41,0.5,1651,0.15,0.23,0.18,349,0.26,0.42,0.32,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_sg_50_10_100d,0.37,0.31,0.4,0.62,0.46,0.53,1651,0.12,0.36,0.19,349,0.26,0.17,0.21,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_fasttext_50_5_300d,0.39,0.3,0.4,0.64,0.4,0.49,1651,0.07,0.04,0.05,349,0.26,0.56,0.35,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_cbow_5_10_100d,0.4,0.3,0.4,0.63,0.42,0.5,1651,0.15,0.02,0.04,349,0.25,0.57,0.35,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_pop_sg_50_10_300d,0.4,0.28,0.4,0.61,0.44,0.51,1651,0.0,0.0,0.0,349,0.23,0.52,0.32,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_pop_fasttext_50_5_300d,0.39,0.29,0.4,0.64,0.41,0.5,1651,0.06,0.02,0.03,349,0.24,0.53,0.33,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_fasttext_5_5_100d,0.36,0.3,0.4,0.64,0.42,0.51,1651,0.1,0.19,0.13,349,0.23,0.31,0.26,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_cbow_50_5_100d,0.39,0.28,0.4,0.62,0.53,0.57,1651,0.1,0.31,0.15,349,0.26,0.06,0.1,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_cbow_50_5_300d,0.38,0.31,0.4,0.63,0.47,0.54,1651,0.15,0.49,0.23,349,0.28,0.11,0.16,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_cbow_50_5_300d,0.38,0.32,0.4,0.63,0.41,0.49,1651,0.14,0.19,0.16,349,0.24,0.41,0.31,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_fasttext_5_5_100d,0.4,0.29,0.4,0.64,0.41,0.5,1651,0.1,0.02,0.04,349,0.24,0.57,0.34,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_cbow_50_10_100d,0.38,0.32,0.4,0.62,0.4,0.48,1651,0.12,0.16,0.14,349,0.26,0.46,0.33,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_fasttext_50_5_100d,0.38,0.31,0.4,0.6,0.45,0.51,1651,0.12,0.19,0.15,349,0.23,0.3,0.26,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_cbow_5_10_100d,0.37,0.3,0.4,0.64,0.45,0.53,1651,0.13,0.45,0.2,349,0.32,0.12,0.17,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_fasttext_5_5_300d,0.37,0.32,0.4,0.61,0.42,0.5,1651,0.13,0.35,0.19,349,0.29,0.27,0.28,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_sg_50_10_100d,0.41,0.29,0.4,0.62,0.42,0.5,1651,0.07,0.01,0.02,349,0.26,0.59,0.36,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_cbow_50_10_100d,0.37,0.31,0.4,0.65,0.4,0.49,1651,0.1,0.17,0.13,349,0.24,0.4,0.3,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_50_5_100d,0.38,0.29,0.4,0.62,0.49,0.55,1651,0.13,0.44,0.2,349,0.25,0.07,0.11,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_fasttext_50_10_300d,0.37,0.31,0.4,0.63,0.43,0.51,1651,0.13,0.3,0.18,349,0.24,0.26,0.25,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_sg_5_10_100d,0.38,0.3,0.4,0.64,0.41,0.5,1651,0.07,0.05,0.06,349,0.24,0.5,0.33,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_cbow_5_10_100d,0.37,0.31,0.4,0.63,0.4,0.49,1651,0.11,0.16,0.13,349,0.25,0.41,0.31,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_sg_5_5_300d,0.39,0.3,0.4,0.62,0.48,0.55,1651,0.14,0.48,0.22,349,0.29,0.08,0.13,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_sg_5_10_100d,0.4,0.27,0.39,0.62,0.54,0.58,1651,0.14,0.49,0.22,349,0.27,0.01,0.01,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_sg_50_5_300d,0.35,0.3,0.39,0.61,0.42,0.5,1651,0.12,0.34,0.18,349,0.23,0.19,0.2,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_sg_50_5_100d,0.39,0.31,0.39,0.62,0.39,0.48,1651,0.15,0.06,0.09,349,0.25,0.57,0.35,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_cbow_50_5_300d,0.37,0.31,0.39,0.61,0.41,0.49,1651,0.12,0.2,0.15,349,0.24,0.36,0.29,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_cbow_5_5_300d,0.39,0.29,0.39,0.65,0.39,0.49,1651,0.05,0.01,0.02,349,0.25,0.59,0.35,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_cbow_50_5_300d,0.36,0.32,0.39,0.63,0.37,0.47,1651,0.14,0.27,0.18,349,0.25,0.4,0.31,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_fasttext_50_10_100d,0.36,0.32,0.39,0.63,0.4,0.49,1651,0.15,0.38,0.22,349,0.23,0.26,0.25,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_cbow_5_5_100d,0.38,0.3,0.39,0.65,0.37,0.47,1651,0.09,0.06,0.07,349,0.25,0.57,0.35,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_cbow_50_5_300d,0.38,0.27,0.39,0.63,0.51,0.56,1651,0.12,0.43,0.19,349,0.21,0.04,0.06,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_fasttext_5_10_100d,0.36,0.31,0.39,0.61,0.38,0.47,1651,0.14,0.19,0.16,349,0.24,0.43,0.31,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_cbow_50_10_100d,0.35,0.31,0.38,0.6,0.38,0.46,1651,0.14,0.35,0.2,349,0.23,0.27,0.25,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_cbow_50_10_300d,0.36,0.27,0.38,0.64,0.46,0.53,1651,0.13,0.53,0.22,349,0.22,0.04,0.06,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_sg_5_5_300d,0.39,0.26,0.38,0.6,0.54,0.57,1651,0.13,0.43,0.19,349,0.33,0.0,0.0,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_sg_50_5_100d,0.37,0.27,0.38,0.61,0.48,0.54,1651,0.13,0.49,0.21,349,0.3,0.03,0.06,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_cbow_50_10_100d,0.35,0.3,0.38,0.63,0.35,0.45,1651,0.13,0.22,0.16,349,0.23,0.41,0.3,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_sg_50_5_300d,0.37,0.29,0.38,0.61,0.38,0.47,1651,0.11,0.05,0.07,349,0.24,0.54,0.33,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_cbow_50_10_300d,0.36,0.3,0.38,0.6,0.42,0.49,1651,0.15,0.37,0.21,349,0.21,0.2,0.2,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_pop_cbow_50_10_300d,0.35,0.31,0.38,0.63,0.37,0.47,1651,0.14,0.41,0.21,349,0.27,0.27,0.27,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_cbow_50_5_300d,0.35,0.29,0.38,0.63,0.42,0.5,1651,0.13,0.49,0.21,349,0.24,0.1,0.14,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_sg_5_5_300d,0.35,0.28,0.38,0.64,0.43,0.51,1651,0.13,0.46,0.2,349,0.2,0.09,0.12,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_fasttext_50_10_100d,0.35,0.31,0.38,0.61,0.38,0.46,1651,0.13,0.27,0.17,349,0.24,0.33,0.28,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_pop_sg_5_10_300d,0.36,0.3,0.38,0.63,0.41,0.5,1651,0.15,0.57,0.23,349,0.33,0.11,0.16,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_fasttext_50_5_300d,0.34,0.29,0.37,0.64,0.38,0.48,1651,0.13,0.47,0.2,349,0.25,0.15,0.19,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_fasttext_50_10_100d,0.34,0.31,0.37,0.64,0.33,0.43,1651,0.14,0.37,0.21,349,0.26,0.36,0.3,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_cbow_5_5_100d,0.37,0.27,0.37,0.63,0.35,0.45,1651,0.03,0.0,0.01,349,0.25,0.64,0.35,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_fasttext_50_10_300d,0.34,0.3,0.37,0.61,0.35,0.44,1651,0.14,0.32,0.19,349,0.24,0.31,0.27,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_cbow_50_10_100d,0.36,0.32,0.37,0.64,0.31,0.42,1651,0.17,0.25,0.2,349,0.26,0.53,0.35,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_pop_cbow_50_10_300d,0.36,0.28,0.37,0.59,0.37,0.46,1651,0.09,0.04,0.06,349,0.23,0.51,0.32,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_cbow_50_5_300d,0.38,0.27,0.37,0.6,0.37,0.46,1651,0.0,0.0,0.0,349,0.24,0.6,0.34,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_fasttext_5_5_300d,0.34,0.31,0.37,0.63,0.33,0.44,1651,0.13,0.32,0.19,349,0.25,0.37,0.3,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=20,custom_pop_fasttext_5_10_300d,0.35,0.27,0.36,0.63,0.33,0.43,1651,0.05,0.03,0.04,349,0.24,0.6,0.35,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_cbow_5_5_300d,0.35,0.26,0.36,0.64,0.43,0.52,1651,0.14,0.64,0.24,349,0.8,0.01,0.02,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_fasttext_5_10_300d,0.35,0.26,0.36,0.64,0.43,0.52,1651,0.14,0.58,0.22,349,0.47,0.03,0.05,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_fasttext_5_5_300d,0.35,0.27,0.36,0.62,0.42,0.5,1651,0.14,0.52,0.21,349,0.21,0.06,0.09,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_fasttext_5_10_100d,0.35,0.28,0.36,0.62,0.34,0.44,1651,0.1,0.09,0.1,349,0.23,0.49,0.31,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_cbow_5_10_100d,0.33,0.3,0.36,0.62,0.33,0.43,1651,0.14,0.42,0.21,349,0.24,0.27,0.25,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_fasttext_50_10_100d,0.32,0.3,0.36,0.65,0.31,0.42,1651,0.13,0.33,0.18,349,0.24,0.35,0.29,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_sg_50_10_100d,0.33,0.29,0.36,0.65,0.35,0.46,1651,0.12,0.41,0.19,349,0.24,0.21,0.22,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_cbow_50_10_300d,0.32,0.3,0.36,0.63,0.33,0.44,1651,0.14,0.53,0.22,349,0.3,0.19,0.23,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_cbow_50_10_300d,0.33,0.3,0.36,0.62,0.32,0.43,1651,0.13,0.38,0.2,349,0.25,0.3,0.27,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_sg_50_10_300d,0.31,0.29,0.35,0.66,0.32,0.43,1651,0.14,0.58,0.23,349,0.24,0.17,0.2,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_cbow_50_5_100d,0.33,0.25,0.35,0.65,0.41,0.5,1651,0.13,0.6,0.21,349,0.31,0.01,0.03,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_sg_5_10_300d,0.33,0.29,0.35,0.6,0.35,0.44,1651,0.15,0.6,0.24,349,0.32,0.14,0.2,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_fasttext_5_10_300d,0.32,0.28,0.35,0.64,0.36,0.46,1651,0.13,0.47,0.2,349,0.21,0.13,0.16,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_fasttext_50_5_300d,0.34,0.29,0.35,0.63,0.29,0.4,1651,0.13,0.15,0.14,349,0.25,0.57,0.35,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_fasttext_5_5_100d,0.32,0.29,0.35,0.61,0.31,0.42,1651,0.13,0.28,0.18,349,0.22,0.37,0.28,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_sg_5_5_100d,0.34,0.28,0.35,0.63,0.3,0.4,1651,0.14,0.09,0.11,349,0.23,0.59,0.33,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_fasttext_5_10_100d,0.32,0.29,0.35,0.63,0.33,0.43,1651,0.13,0.39,0.19,349,0.23,0.25,0.24,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_sg_50_10_300d,0.34,0.28,0.35,0.62,0.31,0.41,1651,0.11,0.11,0.11,349,0.24,0.53,0.33,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_sg_5_5_300d,0.36,0.26,0.35,0.66,0.3,0.41,1651,0.0,0.0,0.0,349,0.25,0.72,0.37,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_pop_fasttext_50_5_300d,0.32,0.29,0.35,0.61,0.3,0.4,1651,0.12,0.21,0.15,349,0.24,0.44,0.31,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_sg_50_5_300d,0.32,0.3,0.35,0.62,0.32,0.42,1651,0.15,0.55,0.23,349,0.28,0.22,0.24,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_cbow_5_10_300d,0.35,0.26,0.35,0.6,0.32,0.42,1651,0.05,0.01,0.01,349,0.23,0.61,0.34,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_fasttext_5_10_100d,0.33,0.29,0.34,0.61,0.28,0.39,1651,0.15,0.15,0.15,349,0.24,0.56,0.33,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_pop_fasttext_5_10_100d,0.35,0.26,0.34,0.61,0.29,0.4,1651,0.17,0.03,0.04,349,0.24,0.66,0.35,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_pop_fasttext_5_10_300d,0.32,0.3,0.34,0.63,0.27,0.38,1651,0.14,0.32,0.2,349,0.25,0.43,0.31,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_pop_cbow_50_10_300d,0.3,0.28,0.34,0.62,0.3,0.4,1651,0.12,0.41,0.19,349,0.24,0.26,0.25,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_fasttext_50_5_100d,0.32,0.25,0.34,0.61,0.39,0.47,1651,0.12,0.5,0.19,349,0.25,0.05,0.08,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_cbow_50_10_300d,0.33,0.29,0.34,0.63,0.28,0.38,1651,0.13,0.18,0.15,349,0.25,0.55,0.34,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_cbow_50_10_300d,0.33,0.25,0.34,0.64,0.38,0.48,1651,0.13,0.6,0.22,349,0.26,0.03,0.05,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_fasttext_5_10_100d,0.35,0.26,0.34,0.64,0.29,0.4,1651,0.06,0.01,0.02,349,0.24,0.67,0.35,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_cbow_50_10_300d,0.31,0.29,0.34,0.63,0.28,0.39,1651,0.14,0.48,0.22,349,0.26,0.28,0.27,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_fasttext_5_10_100d,0.31,0.29,0.34,0.63,0.28,0.39,1651,0.14,0.5,0.22,349,0.27,0.29,0.28,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_cbow_50_10_100d,0.33,0.25,0.34,0.63,0.37,0.47,1651,0.15,0.68,0.24,349,0.27,0.03,0.05,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_fasttext_50_10_300d,0.3,0.28,0.33,0.65,0.27,0.38,1651,0.13,0.4,0.2,349,0.23,0.32,0.27,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_cbow_5_10_300d,0.33,0.24,0.33,0.61,0.4,0.49,1651,0.13,0.59,0.22,349,0.15,0.0,0.01,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_cbow_50_5_100d,0.32,0.28,0.33,0.62,0.26,0.36,1651,0.13,0.16,0.15,349,0.24,0.57,0.34,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_fasttext_50_10_100d,0.32,0.29,0.33,0.62,0.25,0.36,1651,0.13,0.23,0.17,349,0.24,0.51,0.33,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_fasttext_50_5_100d,0.33,0.29,0.33,0.62,0.25,0.36,1651,0.16,0.14,0.15,349,0.24,0.61,0.34,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_pop_cbow_5_5_100d,0.33,0.25,0.33,0.59,0.29,0.39,1651,0.1,0.03,0.04,349,0.23,0.61,0.33,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=10,custom_pop_sg_50_5_100d,0.33,0.24,0.33,0.62,0.39,0.48,1651,0.14,0.63,0.23,349,0.23,0.0,0.01,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_cbow_50_5_300d,0.33,0.24,0.33,0.65,0.38,0.48,1651,0.14,0.68,0.23,349,0.33,0.01,0.02,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_sg_50_5_100d,0.32,0.24,0.33,0.63,0.36,0.46,1651,0.13,0.63,0.22,349,0.32,0.03,0.05,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_sg_50_5_100d,0.31,0.29,0.32,0.63,0.25,0.36,1651,0.15,0.34,0.21,349,0.23,0.43,0.3,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_sg_5_5_100d,0.3,0.24,0.32,0.63,0.33,0.44,1651,0.14,0.67,0.23,349,0.25,0.03,0.06,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_sg_5_10_100d,0.3,0.28,0.32,0.62,0.26,0.37,1651,0.13,0.35,0.19,349,0.23,0.36,0.28,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_sg_5_10_100d,0.33,0.25,0.32,0.61,0.27,0.38,1651,0.11,0.02,0.03,349,0.23,0.67,0.35,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_fasttext_50_10_100d,0.3,0.29,0.32,0.67,0.23,0.34,1651,0.14,0.36,0.2,349,0.25,0.46,0.32,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_pop_fasttext_5_5_300d,0.3,0.24,0.31,0.61,0.33,0.43,1651,0.13,0.62,0.22,349,0.32,0.05,0.08,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_sg_50_5_300d,0.31,0.26,0.31,0.6,0.24,0.34,1651,0.14,0.08,0.1,349,0.23,0.63,0.34,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_cbow_50_5_300d,0.28,0.26,0.31,0.62,0.27,0.37,1651,0.14,0.54,0.22,349,0.22,0.18,0.2,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_fasttext_50_10_300d,0.3,0.27,0.31,0.59,0.25,0.35,1651,0.13,0.17,0.15,349,0.22,0.53,0.31,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_cbow_50_10_100d,0.3,0.22,0.31,0.63,0.34,0.44,1651,0.13,0.66,0.22,349,0.6,0.0,0.01,651,2651
